#time,      MIC=1.0,    MIC=5.5,    MIC=10.0    
0.0000E+00  ,6.0000E+06  ,6.0000E+06  ,6.0000E+06  
4.8000E-01  ,5.1738E+06  ,5.9084E+06  ,6.2447E+06  
9.6000E-01  ,4.4620E+06  ,5.8192E+06  ,6.4984E+06  
1.4410E+00  ,3.8475E+06  ,5.7302E+06  ,6.7636E+06  
1.9210E+00  ,3.3193E+06  ,5.6419E+06  ,7.0380E+06  
2.4010E+00  ,2.8631E+06  ,5.5556E+06  ,7.3236E+06  
2.8810E+00  ,2.4696E+06  ,5.4705E+06  ,7.6216E+06  
3.3610E+00  ,2.1302E+06  ,5.3868E+06  ,7.9305E+06  
3.8410E+00  ,1.8370E+06  ,5.3037E+06  ,8.2529E+06  
4.3210E+00  ,1.5843E+06  ,5.2225E+06  ,8.5884E+06  
4.8010E+00  ,1.3664E+06  ,5.1425E+06  ,8.9367E+06  
5.2800E+00  ,1.1787E+06  ,5.0641E+06  ,9.2999E+06  
5.7600E+00  ,1.0168E+06  ,4.9869E+06  ,9.6775E+06  
6.2400E+00  ,8.7788E+05  ,4.9106E+06  ,1.0071E+07  
6.7200E+00  ,7.5744E+05  ,4.8347E+06  ,1.0480E+07  
7.2000E+00  ,6.5335E+05  ,4.7616E+06  ,1.0906E+07  
7.6800E+00  ,5.6363E+05  ,4.6881E+06  ,1.1350E+07  
8.1600E+00  ,4.8613E+05  ,4.6176E+06  ,1.1811E+07  
8.6400E+00  ,4.1948E+05  ,4.5472E+06  ,1.2290E+07  
9.1200E+00  ,3.6192E+05  ,4.4772E+06  ,1.2791E+07  
9.6000E+00  ,3.1194E+05  ,4.4090E+06  ,1.3310E+07  
1.0081E+01  ,2.6875E+05  ,4.3413E+06  ,1.3852E+07  
1.0561E+01  ,2.3160E+05  ,4.2750E+06  ,1.4415E+07  
1.1041E+01  ,1.9932E+05  ,4.2087E+06  ,1.5000E+07  
1.1521E+01  ,1.7207E+05  ,4.1443E+06  ,1.5610E+07  
1.2001E+01  ,1.4812E+05  ,4.0810E+06  ,1.6244E+07  
1.2481E+01  ,1.2781E+05  ,4.0181E+06  ,1.6906E+07  
1.2961E+01  ,1.1001E+05  ,3.9570E+06  ,1.7593E+07  
1.3441E+01  ,9.4979E+04  ,3.8953E+06  ,1.8306E+07  
1.3921E+01  ,8.1953E+04  ,3.8352E+06  ,1.9051E+07  
1.4401E+01  ,7.0641E+04  ,3.7764E+06  ,1.9827E+07  
1.4881E+01  ,6.0731E+04  ,3.7179E+06  ,2.0632E+07  
1.5361E+01  ,5.2270E+04  ,3.6599E+06  ,2.1471E+07  
1.5841E+01  ,4.5045E+04  ,3.6048E+06  ,2.2346E+07  
1.6321E+01  ,3.8730E+04  ,3.5495E+06  ,2.3252E+07  
1.6801E+01  ,3.3492E+04  ,3.4947E+06  ,2.4197E+07  
1.7281E+01  ,2.8871E+04  ,3.4413E+06  ,2.5179E+07  
1.7761E+01  ,2.4897E+04  ,3.3873E+06  ,2.6203E+07  
1.8241E+01  ,2.1460E+04  ,3.3357E+06  ,2.7269E+07  
1.8721E+01  ,1.8680E+04  ,3.2840E+06  ,2.8374E+07  
1.9200E+01  ,1.6176E+04  ,3.2337E+06  ,2.9525E+07  
1.9680E+01  ,1.3886E+04  ,3.1832E+06  ,3.0723E+07  
2.0160E+01  ,1.1932E+04  ,3.1351E+06  ,3.1972E+07  
2.0640E+01  ,1.0244E+04  ,3.0873E+06  ,3.3270E+07  
2.1120E+01  ,8.8800E+03  ,3.0400E+06  ,3.4622E+07  
2.1600E+01  ,7.6630E+03  ,2.9936E+06  ,3.6029E+07  
2.2080E+01  ,6.5780E+03  ,2.9474E+06  ,3.7494E+07  
2.2560E+01  ,5.6870E+03  ,2.9018E+06  ,3.9017E+07  
2.3040E+01  ,4.8670E+03  ,2.8578E+06  ,4.0603E+07  
2.3520E+01  ,4.1840E+03  ,2.8136E+06  ,4.2256E+07  
2.4000E+01  ,3.5940E+03  ,2.7707E+06  ,4.3972E+07  
